Initial_Coral,Fishing_Pressure,Final_Coral,Browsers,Id
0,0,0.6605154646393475,0.7,B0 = 0.7
0.01,0,0.6605154646393465,0.7,B0 = 0.7
0.02,0,0.6605154646393474,0.7,B0 = 0.7
0.03,0,0.660515464639347,0.7,B0 = 0.7
0.04,0,0.6605154646393468,0.7,B0 = 0.7
0.05,0,0.6605154646393468,0.7,B0 = 0.7
0.06,0,0.660515464639347,0.7,B0 = 0.7
0.07,0,0.6605154646393465,0.7,B0 = 0.7
0.08,0,0.6605154646393468,0.7,B0 = 0.7
0.09,0,0.6605154646393465,0.7,B0 = 0.7
0.1,0,0.6605154646393468,0.7,B0 = 0.7
0.11,0,0.6605154646393471,0.7,B0 = 0.7
0.12,0,0.6605154646393468,0.7,B0 = 0.7
0.13,0,0.6605154646393468,0.7,B0 = 0.7
0.14,0,0.6605154646393468,0.7,B0 = 0.7
0.15,0,0.660515464639347,0.7,B0 = 0.7
0.16,0,0.660515464639347,0.7,B0 = 0.7
0.17,0,0.660515464639347,0.7,B0 = 0.7
0.18,0,0.660515464639347,0.7,B0 = 0.7
0.19,0,0.6605154646393465,0.7,B0 = 0.7
0.2,0,0.6605154646393466,0.7,B0 = 0.7
0.21,0,0.6605154646393466,0.7,B0 = 0.7
0.22,0,0.6605154646393459,0.7,B0 = 0.7
0.23,0,0.6605154646393462,0.7,B0 = 0.7
0.24,0,0.6605154646393468,0.7,B0 = 0.7
0.25,0,0.6605154646393465,0.7,B0 = 0.7
0.26,0,0.6605154646393466,0.7,B0 = 0.7
0.27,0,0.6605154646393468,0.7,B0 = 0.7
0.28,0,0.660515464639347,0.7,B0 = 0.7
0.29,0,0.6605154646393457,0.7,B0 = 0.7
0.3,0,0.6605154646393468,0.7,B0 = 0.7
0.31,0,0.6605154646393465,0.7,B0 = 0.7
0.32,0,0.6605154646393457,0.7,B0 = 0.7
0.33,0,0.6605154646393466,0.7,B0 = 0.7
0.34,0,0.6605154646393463,0.7,B0 = 0.7
0.35000000000000003,0,0.660515464639347,0.7,B0 = 0.7
0.36,0,0.6605154646393468,0.7,B0 = 0.7
0.37,0,0.660515464639347,0.7,B0 = 0.7
0.38,0,0.6605154646393465,0.7,B0 = 0.7
0.39,0,0.6605154646393471,0.7,B0 = 0.7
0.4,0,0.6605154646393459,0.7,B0 = 0.7
0.41000000000000003,0,0.6605154646393468,0.7,B0 = 0.7
0.42,0,0.6605154646393462,0.7,B0 = 0.7
0.43,0,0.6605154646393463,0.7,B0 = 0.7
0.44,0,0.6605154646393466,0.7,B0 = 0.7
0.45,0,0.6605154646393472,0.7,B0 = 0.7
0.46,0,0.660515464639347,0.7,B0 = 0.7
0.47000000000000003,0,0.6605154646393468,0.7,B0 = 0.7
