gT,gM,Fishing_Pressure,Final_Coral,Final_Turf,Final_Macroalgae,Id,Fishing_ID
0,0,0.1,2.2204460492503436e-16,4.440892098500706e-16,0.9999999999999984,"Herbivores
even","Fishing
Pressure
= 0.1"
0.5,0,0.1,2.498001805406634e-16,2.270910732187838e-16,0.9999999999999986,"Herbivores
even","Fishing
Pressure
= 0.1"
1,0,0.1,2.498001805406634e-16,1.469412826709765e-16,0.9999999999999987,"Herbivores
even","Fishing
Pressure
= 0.1"
1.5,0,0.1,2.498001805406634e-16,1.0860877414811313e-16,0.9999999999999987,"Herbivores
even","Fishing
Pressure
= 0.1"
2,0,0.1,2.498001805406634e-16,8.613799328988279e-17,0.9999999999999987,"Herbivores
even","Fishing
Pressure
= 0.1"
2.5,0,0.1,2.498001805406634e-16,7.137148015447429e-17,0.9999999999999987,"Herbivores
even","Fishing
Pressure
= 0.1"
3,0,0.1,2.498001805406634e-16,6.09268733026e-17,0.9999999999999987,"Herbivores
even","Fishing
Pressure
= 0.1"
3.5,0,0.1,2.498001805406634e-16,5.314897458311917e-17,0.9999999999999988,"Herbivores
even","Fishing
Pressure
= 0.1"
4,0,0.1,2.498001805406634e-16,4.713210953597359e-17,0.9999999999999988,"Herbivores
even","Fishing
Pressure
= 0.1"
4.5,0,0.1,2.498001805406634e-16,4.233901365095933e-17,0.9999999999999988,"Herbivores
even","Fishing
Pressure
= 0.1"
5,0,0.1,2.498001805406634e-16,3.843079700625539e-17,0.9999999999999988,"Herbivores
even","Fishing
Pressure
= 0.1"
5.5,0,0.1,2.498001805406634e-16,3.518312401981127e-17,0.9999999999999988,"Herbivores
even","Fishing
Pressure
= 0.1"
6,0,0.1,2.498001805406634e-16,3.2441581888397405e-17,0.9999999999999988,"Herbivores
even","Fishing
Pressure
= 0.1"
6.5,0,0.1,2.498001805406634e-16,3.009640729405542e-17,0.9999999999999988,"Herbivores
even","Fishing
Pressure
= 0.1"
7,0,0.1,2.498001805406634e-16,2.8067436015804495e-17,0.9999999999999988,"Herbivores
even","Fishing
Pressure
= 0.1"
7.5,0,0.1,2.498001805406634e-16,2.629475584638527e-17,0.9999999999999988,"Herbivores
even","Fishing
Pressure
= 0.1"
8,0,0.1,2.498001805406634e-16,2.473269114263961e-17,0.9999999999999988,"Herbivores
even","Fishing
Pressure
= 0.1"
8.5,0,0.1,2.498001805406634e-16,2.3345811265482245e-17,0.9999999999999988,"Herbivores
even","Fishing
Pressure
= 0.1"
9,0,0.1,2.498001805406634e-16,2.2106210667315046e-17,0.9999999999999988,"Herbivores
even","Fishing
Pressure
= 0.1"
9.5,0,0.1,2.498001805406634e-16,2.0991611810139495e-17,0.9999999999999988,"Herbivores
even","Fishing
Pressure
= 0.1"
10,0,0.1,2.498001805406634e-16,1.9984014443252802e-17,0.9999999999999988,"Herbivores
even","Fishing
Pressure
= 0.1"
10.5,0,0.1,2.498001805406634e-16,1.9068716071806106e-17,0.9999999999999988,"Herbivores
even","Fishing
Pressure
= 0.1"
11,0,0.1,2.498001805406634e-16,1.823358982048614e-17,0.9999999999999988,"Herbivores
even","Fishing
Pressure
= 0.1"
11.5,0,0.1,2.498001805406634e-16,1.7468544093752454e-17,0.9999999999999988,"Herbivores
even","Fishing
Pressure
= 0.1"
12,0,0.1,2.498001805406634e-16,1.6765112787963764e-17,0.9999999999999988,"Herbivores
even","Fishing
Pressure
= 0.1"
12.5,0,0.1,2.498001805406634e-16,1.6116140680042587e-17,0.9999999999999988,"Herbivores
even","Fishing
Pressure
= 0.1"
13,0,0.1,2.498001805406634e-16,1.5515539164016155e-17,0.9999999999999988,"Herbivores
even","Fishing
Pressure
= 0.1"
13.5,0,0.1,2.498001805406634e-16,1.49580946431533e-17,0.9999999999999988,"Herbivores
even","Fishing
Pressure
= 0.1"
14,0,0.1,2.498001805406634e-16,1.443931679425781e-17,0.9999999999999988,"Herbivores
even","Fishing
Pressure
= 0.1"
14.5,0,0.1,2.498001805406634e-16,1.395531734864023e-17,0.9999999999999988,"Herbivores
even","Fishing
Pressure
= 0.1"
15,0,0.1,2.498001805406634e-16,1.3502712461657302e-17,0.9999999999999988,"Herbivores
even","Fishing
Pressure
= 0.1"
0,0.5,0.1,0.04061681311763733,0.27682371506363124,0.5805832088968624,"Herbivores
even","Fishing
Pressure
= 0.1"
0.5,0.5,0.1,0.08514236134073419,0.10577681043911874,0.6370201871189565,"Herbivores
even","Fishing
Pressure
= 0.1"
1,0.5,0.1,0.10390965244590958,0.051318661236717564,0.6512672585339909,"Herbivores
even","Fishing
Pressure
= 0.1"
1.5,0.5,0.1,0.6835941096893097,0.02243165660912661,0.021520735920757175,"Herbivores
even","Fishing
Pressure
= 0.1"
2,0.5,0.1,0.6974093152869816,0.015804400935157125,0.014675846621014753,"Herbivores
even","Fishing
Pressure
= 0.1"
2.5,0.5,0.1,0.7047120674944104,0.012212731916840214,0.011151392627479877,"Herbivores
even","Fishing
Pressure
= 0.1"
3,0.5,0.1,0.7092425045561287,0.009954744060848834,0.008996487176757757,"Herbivores
even","Fishing
Pressure
= 0.1"
3.5,0.5,0.1,0.7123307493136011,0.008402701541455107,0.00754116648963119,"Herbivores
even","Fishing
Pressure
= 0.1"
4,0.5,0.1,0.7145719706978677,0.007269896928562526,0.006491825433228966,"Herbivores
even","Fishing
Pressure
= 0.1"
4.5,0.5,0.1,0.7162730422616511,0.006406517352363708,0.005699181278641278,"Herbivores
even","Fishing
Pressure
= 0.1"
5,0.5,0.1,0.7176084241925277,0.005726587469453794,0.005079218641233292,"Herbivores
even","Fishing
Pressure
= 0.1"
5.5,0.5,0.1,0.7186846874517172,0.005177218291295241,0.004581007567744528,"Herbivores
even","Fishing
Pressure
= 0.1"
6,0.5,0.1,0.7195706315832167,0.00472407955523048,0.004171866367842246,"Herbivores
even","Fishing
Pressure
= 0.1"
6.5,0.5,0.1,0.7203126662909487,0.0043439122817402935,0.003829856084666804,"Herbivores
even","Fishing
Pressure
= 0.1"
7,0.5,0.1,0.7209432387559542,0.0040203970305867,0.0035396995754221863,"Herbivores
even","Fishing
Pressure
= 0.1"
7.5,0.5,0.1,0.7214857194242327,0.003741744598534761,0.003290430292219422,"Herbivores
even","Fishing
Pressure
= 0.1"
8,0.5,0.1,0.721957369632938,0.0034992256051446743,0.003073971568995019,"Herbivores
even","Fishing
Pressure
= 0.1"
8.5,0.5,0.1,0.7223712159957602,0.0032862380301882346,0.0028842432354936405,"Herbivores
even","Fishing
Pressure
= 0.1"
9,0.5,0.1,0.7227372743690131,0.003097696234063666,0.0027165804473697464,"Herbivores
even","Fishing
Pressure
= 0.1"
9.5,0.5,0.1,0.7230633723872294,0.002929619151349303,0.0025673444096237573,"Herbivores
even","Fishing
Pressure
= 0.1"
10,0.5,0.1,0.7233557162464114,0.0027788457972268655,0.002433654911972134,"Herbivores
even","Fishing
Pressure
= 0.1"
10.5,0.5,0.1,0.7236192899591999,0.002642834409645496,0.002313202401147642,"Herbivores
even","Fishing
Pressure
= 0.1"
11,0.5,0.1,0.7238581421513559,0.002519517877527172,0.0022041132937719874,"Herbivores
even","Fishing
Pressure
= 0.1"
11.5,0.5,0.1,0.7240755957048483,0.0024071978718280956,0.0021048517230856157,"Herbivores
even","Fishing
Pressure
= 0.1"
12,0.5,0.1,0.7242744034273222,0.002304466106383601,0.0020141467155191856,"Herbivores
even","Fishing
Pressure
= 0.1"
12.5,0.5,0.1,0.7244568652951163,0.002210144948895548,0.0019309374348362557,"Herbivores
even","Fishing
Pressure
= 0.1"
13,0.5,0.1,0.7246249179004104,0.002123242051918451,0.00185433147112521,"Herbivores
even","Fishing
Pressure
= 0.1"
13.5,0.5,0.1,0.724780203499385,0.0020429152883119205,0.001783572686933771,"Herbivores
even","Fishing
Pressure
= 0.1"
14,0.5,0.1,0.724924123890768,0.0019684453600253577,0.0017180161594512057,"Herbivores
even","Fishing
Pressure
= 0.1"
14.5,0.5,0.1,0.7250578828760199,0.0018992141899320876,0.0016571084563245136,"Herbivores
even","Fishing
Pressure
= 0.1"
15,0.5,0.1,0.7251825200283097,0.00183468772056408,0.0016003719658588358,"Herbivores
even","Fishing
Pressure
= 0.1"
0,1,0.1,0.050546018688431615,0.4817823704980678,0.35702537353569036,"Herbivores
even","Fishing
Pressure
= 0.1"
0.5,1,0.1,0.5326182890857443,0.14417757280407806,0.05245683999550401,"Herbivores
even","Fishing
Pressure
= 0.1"
1,1,0.1,0.6802017171423148,0.037235073405469526,0.010830096155172627,"Herbivores
even","Fishing
Pressure
= 0.1"
1.5,1,0.1,0.7002505049111765,0.021951851624690807,0.006214088517017576,"Herbivores
even","Fishing
Pressure
= 0.1"
2,1,0.1,0.7085386621344258,0.0155896724022583,0.004364789041416923,"Herbivores
even","Fishing
Pressure
= 0.1"
2.5,1,0.1,0.7130818898815539,0.012091579449673618,0.0033651949701904256,"Herbivores
even","Fishing
Pressure
= 0.1"
3,1,0.1,0.7159530548577575,0.009877087906844875,0.0027385534250081714,"Herbivores
even","Fishing
Pressure
= 0.1"
3.5,1,0.1,0.7179324148489619,0.008348727897670745,0.0023088139281970507,"Herbivores
even","Fishing
Pressure
= 0.1"
4,1,0.1,0.7193798422967421,0.0072302227975288924,0.0019957234787870252,"Herbivores
even","Fishing
Pressure
= 0.1"
4.5,1,0.1,0.7204844563966035,0.006376132244551582,0.0017574430231543066,"Herbivores
even","Fishing
Pressure
= 0.1"
5,1,0.1,0.7213551934028919,0.005702574556528669,0.0015700122581312973,"Herbivores
even","Fishing
Pressure
= 0.1"
5.5,1,0.1,0.722059241307614,0.005157765171982345,0.0014187187857136892,"Herbivores
even","Fishing
Pressure
= 0.1"
6,1,0.1,0.7226402953686415,0.004708001105746704,0.0012940279728966288,"Herbivores
even","Fishing
Pressure
= 0.1"
6.5,1,0.1,0.7231280027946517,0.004330401058984868,0.0011894889224896529,"Herbivores
even","Fishing
Pressure
= 0.1"
7,1,0.1,0.7235431893077162,0.004008884006371319,0.0011005808263387566,"Herbivores
even","Fishing
Pressure
= 0.1"
7.5,1,0.1,0.7239009135071415,0.00373181725571346,0.00102404124729113,"Herbivores
even","Fishing
Pressure
= 0.1"
8,1,0.1,0.7242123341933433,0.0034905776129982905,9.574567114482346e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
8.5,1,0.1,0.7244858961914317,0.003278637156816949,8.990033934146535e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
9,1,0.1,0.7247281082417145,0.003090963227176898,8.472773880285581e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
9.5,1,0.1,0.7249440678160076,0.0029236134503789054,8.011804230070367e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
10,1,0.1,0.7251378239834746,0.0027734556313763568,7.598409738057157e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
10.5,1,0.1,0.7253126337833302,0.0026379697879898687,7.225586137261833e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
11,1,0.1,0.7254711468689906,0.0025151055316814963,6.887639878678432e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
11.5,1,0.1,0.7256155407951879,0.002403177544949927,6.579895218485092e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
12,1,0.1,0.7257476216849723,0.0023007877882093115,6.298476499695087e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
12.5,1,0.1,0.725868900190249,0.0022067667869660624,6.040144030458054e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
13,1,0.1,0.7259806495424753,0.0021201287536561837,5.802168771783388e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
13.5,1,0.1,0.7260839504340143,0.0020400368844707595,5.582235533466838e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
14,1,0.1,0.726179726088833,0.0019657762376454673,5.378367387843455e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
14.5,1,0.1,0.7262687699366428,0.0018967323286833327,5.188866066677526e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
15,1,0.1,0.7263517676487089,0.001832374084268827,5.012264532261243e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
0,1.5,0.1,0.05443489390454904,0.5764385082918397,0.25635390903718586,"Herbivores
even","Fishing
Pressure
= 0.1"
0.5,1.5,0.1,0.5711163068984326,0.13233044179584635,0.02604847031500116,"Herbivores
even","Fishing
Pressure
= 0.1"
1,1.5,0.1,0.6852597300486782,0.03696375872250891,0.006292000279040912,"Herbivores
even","Fishing
Pressure
= 0.1"
1.5,1.5,0.1,0.7030468295325909,0.02187272081233947,0.0036460312016311338,"Herbivores
even","Fishing
Pressure
= 0.1"
2,1.5,0.1,0.7104765872569326,0.015552700375446206,0.0025702649786626453,"Herbivores
even","Fishing
Pressure
= 0.1"
2.5,1.5,0.1,0.7145657489799218,0.012070275718966504,0.0019853682075518446,"Herbivores
even","Fishing
Pressure
= 0.1"
3,1.5,0.1,0.717155566464294,0.009863261145086368,0.0016175286873775152,"Herbivores
even","Fishing
Pressure
= 0.1"
3.5,1.5,0.1,0.7189433899973021,0.008339038088791946,0.001364763468896313,"Herbivores
even","Fishing
Pressure
= 0.1"
4,1.5,0.1,0.7202519699371991,0.007223058192924444,0.0011803538257300673,"Herbivores
even","Fishing
Pressure
= 0.1"
4.5,1.5,0.1,0.7212512979641635,0.006370620964050822,0.0010398647454955068,"Herbivores
even","Fishing
Pressure
= 0.1"
5,1.5,0.1,0.7220394469146296,0.0056982042099223435,9.292707989348434e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
5.5,1.5,0.1,0.7226769754165088,0.0051542150661140155,8.3994518347174e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
6,1.5,0.1,0.7232033029855789,0.004705060336753665,7.662897128184023e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
6.5,1.5,0.1,0.7236451950074235,0.004327925266651661,7.04512764324687e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
7,1.5,0.1,0.7240214639092205,0.004006771064709486,6.519548440536045e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
7.5,1.5,0.1,0.7243457191675996,0.0037299928890044457,6.066953369798847e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
8,1.5,0.1,0.7246280499078351,0.003488986512748375,5.673125436460444e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
8.5,1.5,0.1,0.7248760941366453,0.0032772372933487183,5.327315404999191e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
9,1.5,0.1,0.7250957405497507,0.003089722091778593,5.021245171256836e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
9.5,1.5,0.1,0.7252916022497213,0.0029225055047940483,4.7484361933437e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
10,1.5,0.1,0.7254673444212185,0.0027724605352260332,4.5037456589603323e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
10.5,1.5,0.1,0.7256259159274103,0.0026370711407744437,4.2830390910007804e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
11,1.5,0.1,0.725769716165046,0.0025142899631711633,4.082954754127592e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
11.5,1.5,0.1,0.7259007173537646,0.002402434046394798,3.9007311704992406e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
12,1.5,0.1,0.7260205555555379,0.002300107213145933,3.734078863808572e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
12.5,1.5,0.1,0.726130599371835,0.002206141473490086,3.5810836421583414e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
13,1.5,0.1,0.7262320024548613,0.00211955223503007,3.440132727465637e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
13.5,1.5,0.1,0.7263257441141435,0.0020395036648740393,3.309857673371248e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
14,1.5,0.1,0.7264126610526125,0.0019652816165814414,3.1890897825266774e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
14.5,1.5,0.1,0.7264934724135621,0.0018962722621572907,3.0768249424033387e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
15,1.5,0.1,0.7265687997275864,0.0018319450740582593,2.972195637129407e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
0,2,0.1,0.05654889294453064,0.6298732528484972,0.19986150788345092,"Herbivores
even","Fishing
Pressure
= 0.1"
0.5,2,0.1,0.583279826286662,0.12884059672269954,0.01754643999995649,"Herbivores
even","Fishing
Pressure
= 0.1"
1,2,0.1,0.6873274537649224,0.03685365836125531,0.004436939157527517,"Herbivores
even","Fishing
Pressure
= 0.1"
1.5,2,0.1,0.7042069722438904,0.02184000933810242,0.0025807239214371788,"Herbivores
even","Fishing
Pressure
= 0.1"
2,2,0.1,0.7112849230698629,0.015537315201362116,0.0018218209450491024,"Herbivores
even","Fishing
Pressure
= 0.1"
2.5,2,0.1,0.7151864102425983,0.012061380448680766,0.0014082700864337513,"Herbivores
even","Fishing
Pressure
= 0.1"
3,2,0.1,0.7176594030511038,0.009857475920478774,0.0011478676008781152,"Herbivores
even","Fishing
Pressure
= 0.1"
3.5,2,0.1,0.7193674617183169,0.008334978170978892,9.687888609732877e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
4,2,0.1,0.7206181021600001,0.007220053315439409,8.380678896147664e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
4.5,2,0.1,0.721573430470551,0.0063683077667010014,7.384410438507936e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
5,2,0.1,0.7223270262943785,0.005696368812786033,6.59990343696787e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
5.5,2,0.1,0.7229366995950209,0.0051527234429247365,5.966113343175476e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
6,2,0.1,0.7234400937002705,0.004703824259377375,5.443405970207614e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
6.5,2,0.1,0.7238627750245964,0.004326884296518238,5.004926119234712e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
7,2,0.1,0.7242227173203125,0.0040058824170884745,4.631830779900022e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
7.5,2,0.1,0.7245329257722758,0.003729225429480294,4.3105081651731566e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
8,2,0.1,0.7248030430487056,0.0034883170464388475,4.0308799741434686e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
8.5,2,0.1,0.7250403701520054,0.003276648186892648,3.7853245922245504e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
9,2,0.1,0.725250536616166,0.0030891997013867897,3.567971476007381e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
9.5,2,0.1,0.7254379529727554,0.0029220391087534207,3.374225545829386e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
10,2,0.1,0.7256061237771414,0.0027720415916404643,3.2004386167881234e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
10.5,2,0.1,0.7257578688828944,0.0026366927605565183,3.043677429224967e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
11,2,0.1,0.7258954828805284,0.0025139465288365115,2.901556690955378e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
11.5,2,0.1,0.7260208519645465,0.0024021209316839724,2.7721168219322295e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
12,2,0.1,0.7261355409259391,0.0022998205736812685,2.6537330334628316e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
12.5,2,0.1,0.7262408588160145,0.002205878088326078,2.545046755739426e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
13,2,0.1,0.7263379091431632,0.0021193093852273164,2.4449132569045063e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
13.5,2,0.1,0.7264276286926117,0.0020392790393840995,2.352361161988473e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
14,2,0.1,0.7265108178681072,0.001965073238536251,2.2665608327046048e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
14.5,2,0.1,0.726588164639901,0.0018960784305828652,2.1867994248757255e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
15,2,0.1,0.7266602636176003,0.0018317643173745924,2.112461034152269e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
0,2.5,0.1,0.05788371519621197,0.6641145186445182,0.16375368454176167,"Herbivores
even","Fishing
Pressure
= 0.1"
0.5,2.5,0.1,0.5893758692953224,0.12713631172222006,0.013256337489104656,"Herbivores
even","Fishing
Pressure
= 0.1"
1,2.5,0.1,0.6884529722658642,0.03679392505918696,0.003427205422524036,"Herbivores
even","Fishing
Pressure
= 0.1"
1.5,2.5,0.1,0.7048423184515257,0.021822124417384018,0.0019973460697496957,"Herbivores
even","Fishing
Pressure
= 0.1"
2,2.5,0.1,0.7117285987918567,0.015528879743300666,0.0014110374986632643,"Herbivores
even","Fishing
Pressure
= 0.1"
2.5,2.5,0.1,0.7155274746438837,0.01205649623915738,0.0010911566372148339,"Herbivores
even","Fishing
Pressure
= 0.1"
3,2.5,0.1,0.7179364690056763,0.009854296567198577,8.896035835315292e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
3.5,2.5,0.1,0.7196007772160146,0.008332745658307725,7.509379265130616e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
4,2.5,0.1,0.7208196110970567,0.007218400253784857,6.496879174900008e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
4.5,2.5,0.1,0.7217507701063407,0.006367034806517113,5.725056038359708e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
5,2.5,0.1,0.7224853765876341,0.005695358533744997,5.117189386581104e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
5.5,2.5,0.1,0.7230797357162362,0.005151902225814514,4.626041477404772e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
6,2.5,0.1,0.7235705176380343,0.00470314362116593,4.220933943853691e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
6.5,2.5,0.1,0.7239826314186294,0.00432631101375294,3.8810752380027345e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
7,2.5,0.1,0.7243335907525229,0.004005392964082532,3.5918742759737284e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
7.5,2.5,0.1,0.7246360691905659,0.0037288026825167083,3.34278917432591e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
8,2.5,0.1,0.7248994642936171,0.003487948245879779,3.1260136164955077e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
8.5,2.5,0.1,0.7251308919867109,0.0032763236308067526,2.9356435024285497e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
9,2.5,0.1,0.7253358394361614,0.003088911881755489,2.767130767797276e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
